source,year,lat,lon,presence,depth
crab_bycatch,2016,49.29326667783333,122.9275999705,1,25
crab_bycatch,2016,49.292450014833335,122.90563335416667,1,14
crab_bycatch,2017,48.55138333633333,123.33808333083333,1,20
crab_bycatch,2014,49.035616668066666,123.26443333633334,1,80
crab_bycatch,2014,49.0126333336,123.17721667283334,1,21
crab_bycatch,2014,49.013049999866666,123.18483333583333,1,40
crab_bycatch,2014,49.0038166667,122.8511666615,1,16
crab_bycatch,2014,49.00333333338333,122.94175001783333,1,7
crab_bycatch,2014,49.0124666671,122.939316686,1,7
crab_bycatch,2014,49.024850000933334,122.92658335366667,1,5
crab_bycatch,2014,49.019833334283334,123.14241666793333,1,10
crab_bycatch,2014,49.013033333416665,123.16253333091667,1,6
crab_bycatch,2014,49.14490000406666,123.30191666283334,1,81
crab_bycatch,2014,50.58850002283334,126.65093332933333,1,10
