source,year,lat,lon,num_visits,mean_count,median_count,presence
Schultz_Dive_BC,2009,49.50591667,-123.3433667,3,0.3333333333333333,0,1
Schultz_Dive_BC,2009,49.51113333,-123.3007667,2,25,25,1
Watson_Dive_Vanls,2009,48.82675,-125.1986,1,1,1,1
Watson_Dive_Vanls,2009,48.85853,-125.1602,1,1,1,1
Watson_Dive_Vanls,2009,49.98325,-127.2949,1,1,1,1
Watson_Dive_Vanls,2009,49.99795,-127.38,1,1,1,1
Watson_Dive_Vanls,2009,50.0016,-127.2892,1,1,1,1
Watson_Dive_Vanls,2009,50.05427,-127.4478,1,1,1,1
Watson_Dive_Vanls,2009,50.0715,-127.5507,1,1,1,1
cote,2010,48.949,-125.149946,1,50,50,1
cote,2010,48.949908,-125.149946,1,1.71,1.71,1
cote,2010,49.33,-122.916,1,15,15,1
cote,2010,49.334,-122.906,1,28,28,1
cote,2010,49.349,-122.893,1,12,12,1
cote,2010,49.429,-122.865,1,1,1,1
Lee_Dive_BC,2010,51.7321667,-127.9963333,1,7,7,1
Lee_Dive_BC,2010,51.79875,-128.20255,1,11,11,1
Lee_Dive_BC,2010,51.8411333,-128.26515,1,14,14,1
Lee_Dive_BC,2010,51.8986667,-128.4353333,1,18,18,1
Lee_Dive_BC,2010,51.9046333,-128.23445,1,8,8,1
Lee_Dive_BC,2010,51.9278333,-128.2905,1,12,12,1
Lee_Dive_BC,2010,51.9607333,-128.2615333,1,4,4,1
Lee_Dive_BC,2010,52.0247,-128.3015833,1,4,4,1
Lee_Dive_BC,2010,52.0988,-131.1314667,1,16,16,1
Lee_Dive_BC,2010,52.0998667,-131.146,1,2,2,1
Lee_Dive_BC,2010,52.1196833,-131.1772167,1,7,7,1
Lee_Dive_BC,2010,52.1228833,-131.2386833,1,13,13,1
Lee_Dive_BC,2010,52.1273833,-131.2372667,1,17,17,1
Lee_Dive_BC,2010,52.1486333,-131.0513833,1,10,10,1
Lee_Dive_BC,2010,52.1498667,-131.0581167,1,9,9,1
Lee_Dive_BC,2010,52.1759,-131.0225167,1,9,9,1
Lee_Dive_BC,2010,52.20965,-131.0002333,1,8,8,1
Lee_Dive_BC,2010,52.4682833,-131.3401167,1,8,8,1
Lee_Dive_BC,2010,52.5743,-131.5498333,1,7,7,1
Lee_Dive_BC,2010,52.5750167,-131.5770833,1,6,6,1
Lee_Dive_BC,2010,52.5813333,-131.5615333,1,4,4,1
Lee_Dive_BC,2010,52.6147667,-131.4433167,1,6,6,1
Lee_Dive_BC,2010,52.6156,-131.4371,1,14,14,1
Lee_Dive_BC,2010,52.6436333,-131.4568833,1,5,5,1
Lee_Dive_BC,2010,52.6994833,-131.4408333,1,3,3,1
Lee_Dive_BC,2010,52.8774667,-131.67,1,6,6,1
Lee_Dive_BC,2010,52.9018167,-131.6319,1,2,2,1
Lee_Dive_BC,2010,52.9255667,-131.6174,1,8,8,1
Salomon_Dive_HaidaGwaii,2010,52.09867,-131.1257,1,59,59,1
Salomon_Dive_HaidaGwaii,2010,52.11907,-131.1776,2,11.5,11.5,1
Salomon_Dive_HaidaGwaii,2010,52.12913,-131.2283,1,37,37,1
Salomon_Dive_HaidaGwaii,2010,52.1442,-131.0467,1,30,30,1
Salomon_Dive_HaidaGwaii,2010,52.17992,-131.0128,1,21,21,1
Salomon_Dive_HaidaGwaii,2010,52.21283,-130.9963,1,28,28,1
Salomon_Dive_HaidaGwaii,2010,52.61573,-131.4346,1,27,27,1
Salomon_Dive_HaidaGwaii,2010,52.64266,-131.4391,1,39,39,1
Salomon_Dive_HaidaGwaii,2010,52.71016,-131.443,2,8.5,8.5,1
Salomon_Dive_HaidaGwaii,2010,52.87565,-131.6719,1,13,13,1
Salomon_Dive_HaidaGwaii,2010,52.89826,-131.6259,1,22,22,1
Salomon_Dive_HaidaGwaii,2010,52.92583,-131.6174,2,14.5,14.5,1
Schultz_Dive_BC,2010,49.33011667,-123.26220000000001,2,5.5,5.5,1
Schultz_Dive_BC,2010,49.33716667,-123.2702,2,1.5,1.5,1
Schultz_Dive_BC,2010,49.3578,-123.2851333,3,2,2,1
Schultz_Dive_BC,2010,49.44276667,-123.3728833,3,0.3333333333333333,0,1
Schultz_Dive_BC,2010,49.45341667,-123.3626667,3,7,2,1
Schultz_Dive_BC,2010,49.47568333,-126.7174167,4,0.75,0.5,1
Schultz_Dive_BC,2010,49.47745,-123.3824333,3,0.6666666666666666,0,1
Schultz_Dive_BC,2010,49.53666667,-123.9793333,2,1,1,1
Watson_Dive_Vanls,2010,48.82675,-125.1986,1,2,2,1
Watson_Dive_Vanls,2010,48.85853,-125.1602,1,2,2,1
Watson_Dive_Vanls,2010,49.98325,-127.2949,1,1,1,1
Watson_Dive_Vanls,2010,49.99795,-127.38,1,1,1,1
Watson_Dive_Vanls,2010,50.0016,-127.2892,1,1,1,1
