H_key,Line,species,weight,estimated,num_caught,num_per_kg,year,month,day,set_num,stat_area,sub_area,start_lat_deg,start_lat_min,start_long_deg,start_long_min,min_depth,max_depth,depth_unit,soaktime
29950,7,4XE,2.599999905,FALSE,1,0,2006,11,14,41,28,2,49,24.9260006,123,18.37800026,63,94,M,21
29956,5,4XE,12.26000023,FALSE,6,0,2006,11,16,47,28,3,49,28.05500031,123,27.5170002,58,97,M,41
29989,1,4XE,5.5,FALSE,2,0,2007,2,15,3,28,1,49,24.2840004,123,23.37599945,65,93,M,19
29993,1,4XE,0.600000024,FALSE,1,2,2007,2,15,7,28,2,49,31.89500046,123,22.31599998,72,91,M,21
29995,1,4XE,1.940000057,FALSE,1,1,2007,2,16,9,28,1,49,26.58499908,123,22.4829998,62,85,M,25
29996,1,4XE,0.200000003,FALSE,1,5,2007,2,16,10,28,1,49,26.97200012,123,23.93799973,66,95,M,22
30007,2,4XE,2.700000048,FALSE,1,0,2007,2,17,21,28,1,49,24.79100037,123,26.79000092,55,75,M,24
30008,1,4XE,1.129999995,FALSE,1,1,2007,2,18,22,28,1,49,24.1060009,123,29.77799988,62,73,M,24
30013,1,4XE,0.430000007,FALSE,3,7,2007,2,18,27,28,1,49,24.31200027,123,25.73699951,55,81,M,24
30017,3,4XE,1.480000019,FALSE,3,2,2007,2,19,31,28,2,49,23.28199959,123,15.70800018,70,85,M,23
30033,2,4XE,1.50999999,FALSE,2,1,2007,2,21,47,28,4,49,33.43099976,123,18.81100082,50,92,M,22
30036,3,4XE,1.269999981,FALSE,2,2,2007,2,22,50,28,2,49,25.21999931,123,18.62100029,67,92,M,20
32009,1,4XE,0.300000012,FALSE,1,3,2007,11,9,9,28,2,49,30.04199982,123,15.07299995,70,95,M,23
32019,2,4XE,0.449999988,FALSE,1,2,2007,11,10,19,28,3,49,31.73699951,123,23.79899979,83,95,M,20
32020,2,4XE,1.200000048,FALSE,1,1,2007,11,10,20,28,3,49,30.84900093,123,29.36300087,75,106,M,19
32023,2,4XE,3.150000095,FALSE,1,0,2007,11,11,23,28,3,49,32.31900024,123,26.73900032,64,95,M,26
32030,1,4XE,2.400000095,FALSE,1,0,2007,11,12,30,28,3,49,27.49799919,123,28.1079998,80,87,M,28
32031,2,4XE,4.400000095,FALSE,2,0,2007,11,12,31,28,1,49,24.77499962,123,26.79800034,72,81,M,26
32032,2,4XE,1.700000048,FALSE,1,1,2007,11,12,32,28,1,49,24.31900024,123,25.76000023,65,87,M,24
32033,1,4XE,2.900000095,FALSE,1,0,2007,11,12,33,28,1,49,24.27599907,123,23.39299965,65,105,M,23
32035,1,4XE,3.900000095,FALSE,,,2007,11,13,36,28,2,49,23.28899956,123,15.68799973,72,84,M,42
34330,1,4XE,1.200000048,FALSE,5,4,2008,11,12,1,17,6,48,55.39799881,123,37.79499817,57,67,M,20
34288,5,4XE,1.5,FALSE,2,1,2008,11,5,4,28,2,49,27.41300011,123,18.80800056,60,70,M,19
34290,2,4XE,1.120000005,FALSE,1,1,2008,11,5,6,28,2,49,30.26799965,123,15.33600044,62,105,M,21
34292,4,4XE,0.100000001,FALSE,1,10,2008,11,6,8,28,2,49,20.62800026,123,18.0510006,57,74,M,24
34292,5,4TA,0.039999999,FALSE,1,25,2008,11,6,8,28,2,49,20.62800026,123,18.0510006,57,74,M,24
34294,4,4XE,0.200000003,FALSE,1,5,2008,11,6,10,28,1,49,24.94199944,123,19.71699905,45,55,M,29
34295,1,4XE,0.449999988,FALSE,1,2,2008,11,6,11,28,2,49,29.29400063,123,19.82999992,69,86,M,24
34304,1,4XE,1.600000024,FALSE,1,1,2008,11,7,20,28,1,49,26.22299957,123,20.90600014,60,75,M,19
34305,4,4XE,2.299999952,FALSE,1,0,2008,11,7,21,28,2,49,24.87800026,123,18.44400024,62,88,M,17
34306,2,4XE,3.599999905,FALSE,,,2008,11,8,22,28,2,49,25.10700035,123,14.19200039,80,85,M,24
34309,2,4XE,1.5,FALSE,,,2008,11,8,25,28,3,49,32.36000061,123,26.59799957,64,96,M,25
34310,4,4XE,0.699999988,FALSE,1,1,2008,11,8,26,28,3,49,33.51300049,123,23.05200005,77,88,M,25
34314,2,4XE,2.039999962,FALSE,1,0,2008,11,9,30,28,1,49,24.69099998,123,26.59199905,62,75,M,22
34315,7,4XE,1.399999976,FALSE,,,2008,11,9,31,28,3,49,26.90800095,123,26.79500008,65,95,M,23
34320,1,4XE,1,FALSE,1,1,2008,11,10,36,28,1,49,24.09900093,123,29.76399994,66,75,M,29
34322,1,4XE,1.5,FALSE,1,1,2008,11,10,38,28,3,49,31.68799973,123,23.97200012,55,67,M,24
34329,3,4XE,1.799999952,FALSE,2,1,2008,11,11,45,28,1,49,23.32500076,123,27.59900093,70,100,M,19
34336,1,4XE,0.860000014,FALSE,1,1,2008,11,13,7,17,5,48,59.27700043,123,44.57899857,56,67,M,18
34449,1,4XE,1.799999952,FALSE,1,1,2009,2,11,1,28,1,49,23.21299934,123,27.20000076,90,95,M,23
34452,2,4XE,4.400000095,FALSE,2,0,2009,2,11,4,28,1,49,24.99500084,123,19.62700081,75,90,M,24
34467,1,4XE,1.399999976,FALSE,1,1,2009,2,13,19,28,4,49,34.72600174,123,18.74600029,85,93,M,26
34470,1,4XE,0.230000004,FALSE,2,9,2009,2,13,22,28,2,49,23.34700012,123,15.68400002,70,87,M,17
34482,1,4XE,0.800000012,FALSE,1,1,2009,2,15,34,28,1,49,26.79800034,123,24.09300041,87,94,M,20
34483,1,4XE,1.899999976,FALSE,1,1,2009,2,15,35,28,1,49,24.33699989,123,25.79899979,72,80,M,18
34485,1,4XE,0.829999983,FALSE,1,1,2009,2,16,37,28,3,49,26.04500008,123,27.31699944,82,87,M,22
34488,1,4XE,1.600000024,FALSE,1,1,2009,2,16,40,28,3,49,31.7140007,123,23.9109993,78,88,M,21
34495,5,4XE,0.109999999,FALSE,1,9,2009,2,18,47,17,6,48,55.43299866,123,37.8409996,58,65,M,24
34497,4,4XE,2.099999905,FALSE,1,0,2009,2,18,49,17,6,48,55.9659996,123,39.82400131,52,90,M,21
34500,1,4XE,0.699999988,FALSE,1,1,2009,2,18,52,17,6,48,56.31999969,123,43.40499878,54,60,M,18
41763,1,4XE,1.049999952,FALSE,,,2010,11,10,42,28,3,49,27.50699997,123,28.08699989,83,105,M,17
41766,1,4XE,5.789999962,FALSE,,,2010,11,11,45,28,3,49,28.21999931,123,27.65500069,55,95,M,24
41769,2,4XE,0.230000004,FALSE,,,2010,11,11,48,28,1,49,26.7329998,123,19.58099937,41,90,M,20
41770,1,4XE,3.680000067,FALSE,,,2010,11,11,49,28,1,49,24.3579998,123,29.66600037,54,75,M,15
41776,1,4XE,1.399999976,FALSE,,,2010,11,5,4,28,1,49,25.10499954,123,19.34199905,79,90,M,21
41784,2,4XE,0.5,FALSE,,,2010,11,6,12,28,2,49,29.13800049,123,19.66900063,60,112,M,23
41786,1,4XE,0.109999999,FALSE,,,2010,11,6,14,28,2,49,27.57299995,123,14.6590004,70,85,M,20
41787,1,4XE,0.519999981,FALSE,,,2010,11,7,15,28,1,49,25.03000069,123,19.46899986,45,80,M,30
41794,1,4XE,0.200000003,FALSE,,,2010,11,8,22,28,2,49,31.94000053,123,22.35899925,72,95,M,25
41795,1,4XE,0.879999995,FALSE,,,2010,11,8,23,28,2,49,32.26399994,123,19.6970005,60,83,M,25
41796,1,4XE,3.5,FALSE,,,2010,11,8,24,28,4,49,32.61600113,123,14.89599991,68,108,M,26
41797,1,4XE,1.399999976,FALSE,,,2010,11,8,25,28,2,49,29.96199989,123,15.07499981,70,94,M,23
41798,1,4XE,0.370000005,FALSE,,,2010,11,8,26,28,2,49,25.15299988,123,14.19999981,54,84,M,19
41807,1,4XE,0.109999999,FALSE,,,2010,11,9,35,28,4,49,34.7859993,123,18.60499954,75,95,M,17
37010,2,4XE,0.680000007,FALSE,1,1,2010,2,5,23,28,2,49,32.27099991,123,19.6760006,68,87,M,27
37016,1,4XE,1.860000014,FALSE,2,1,2010,2,6,29,28,4,49,32.70000076,123,14.85900021,62,86,M,21
37023,1,4XE,0.439999998,FALSE,2,5,2010,2,7,36,28,3,49,33.49100113,123,22.97400093,81,95,M,21
37025,2,4XE,0.519999981,FALSE,1,2,2010,2,7,38,28,3,49,31.72500038,123,23.77000046,47,70,M,21
37031,1,4XE,0.75999999,FALSE,,,2010,2,2,4,28,1,49,25.10899925,123,19.32999992,68,92,M,24
37032,1,4XE,0.5,FALSE,,,2010,2,2,5,28,1,49,24.84700012,123,21.69099998,62,89,M,19
37035,2,4XE,4.699999809,FALSE,2,0,2010,2,3,8,28,1,49,24.28100014,123,25.74900055,66,74,M,0
37037,2,4XE,1,FALSE,1,1,2010,2,3,10,28,2,49,27.80800056,123,18.70299911,56,80,M,23
46741,1,4XE,1.269999981,FALSE,1,1,2013,2,6,6,28,4,49,34.81600189,123,18.67399979,58,74,M,20
46743,1,4XE,2.549999952,FALSE,1,0,2013,2,7,8,28,4,49,34.78099823,123,18.63100052,78,87,M,26
46746,1,4XE,0.059999999,FALSE,1,17,2013,2,7,11,28,1,49,24.97500038,123,19.47999954,52,64,M,18
46757,1,4XE,1.75,FALSE,1,1,2013,2,9,22,28,3,49,33.44800186,123,23.44300079,71,91,M,23
46768,3,4XE,1.639999986,FALSE,1,1,2013,2,11,33,28,2,49,20.91900063,123,20.4279995,66,100,M,24
46769,2,4XE,0.519999981,FALSE,1,2,2013,2,11,34,28,1,49,26.06500053,123,22.50499916,56,86,M,25
46771,1,4XE,0.170000002,FALSE,1,6,2013,2,11,36,28,2,49,27.54199982,123,14.64500046,82,106,M,21
46772,1,4XE,3.869999886,FALSE,2,1,2013,2,11,37,28,2,49,23.31599998,123,15.69099998,67,82,M,19
46776,1,4XE,1.480000019,FALSE,2,1,2013,2,12,41,28,1,49,24.13800049,123,25.62700081,69,81,M,22
46778,1,4XE,0.899999976,FALSE,1,1,2013,2,12,43,28,3,49,27.54899979,123,28.06399918,116,117,M,20
46780,1,4XE,1.519999981,FALSE,1,1,2013,2,13,45,28,1,49,24.75,123,26.7670002,63,74,M,21
46781,1,4XE,1,FALSE,1,1,2013,2,13,46,28,1,49,24.32900047,123,29.69799995,61,71,M,19
19052,4,4XE,0.200000003,TRUE,1,5,2003,3,2,35,28,3,49,31.86300087,123,23.64999962,74,90,M,22
19059,1,4XE,0.5,TRUE,1,2,2003,3,3,42,28,1,49,26.82999992,123,24.22599983,78,94,M,23
19060,3,4XE,0.600000024,TRUE,1,2,2003,3,3,43,28,1,49,26.42000008,123,22.56100082,76,92,M,21
19061,2,4XE,1,TRUE,1,1,2003,3,3,44,28,1,49,25.97599983,123,21.39999962,76,92,M,20
18620,1,4XE,,FALSE,1,,2002,12,20,20,19,8,48,39.28099823,123,32.15000153,24,42,F,26
19034,1,4XE,0.5,TRUE,1,2,2003,2,27,17,28,2,49,29.88400078,123,15.02700043,67,87,M,21
19042,3,4XE,0.699999988,TRUE,1,1,2003,3,1,25,28,2,49,30.9489994,123,21.00900078,85,98,M,25
19043,5,4XE,1,TRUE,1,1,2003,3,1,26,28,2,49,32.22399902,123,19.70899963,61,90,M,23
19046,3,4XE,0.5,TRUE,1,2,2003,3,1,29,28,3,49,31.91699982,123,23.50099945,55,84,M,20
18171,2,4TA,,FALSE,,,2002,6,27,12,17,11,49,12.60200024,123,46.0890007,30,60,F,24
18352,3,4XE,36.5,FALSE,,,2002,6,27,1,12,39,50,43.79499817,126,36.30199814,55,65,M,19
18379,4,4XE,1.325000048,FALSE,4,3,2002,7,1,24,11,3,51,3.042999983,127,19.70299911,31,42,M,17
18381,3,4XE,2.444999933,FALSE,3,1,2002,7,1,25,11,9,51,2.176000118,127,19.04000092,33,65,M,12
18382,1,4XE,1.320000052,FALSE,5,4,2002,7,1,26,11,9,51,1.536000013,127,19.04000092,20,30,M,12
18386,2,4XE,0.620000005,FALSE,2,3,2002,7,2,34,11,5,51,9.762999535,127,28.13299942,24,31,M,14
18440,2,4XE,0.5,FALSE,1,2,2002,10,24,14,28,3,49,31.79000092,123,23.62999916,51,77,M,26
18450,3,4XE,1,FALSE,1,1,2002,10,25,24,28,1,49,24.26000023,123,29.76499939,65,75,M,15
18455,6,4XE,1,FALSE,1,1,2002,10,26,29,28,2,49,25.28000069,123,14.22999954,62,90,M,16
18457,1,4XE,2.900000095,FALSE,1,0,2002,10,27,31,28,1,49,24.94000053,123,19.60000038,50,65,M,31
18458,1,4XE,0.899999976,FALSE,1,1,2002,10,27,32,28,1,49,25.98999977,123,21.39999962,62,87,M,28
18459,1,4XE,0.800000012,FALSE,1,1,2002,10,27,33,28,1,49,26.38999939,123,22.59000015,75,93,M,26
18464,6,4XE,2.5,FALSE,,,2002,10,28,38,28,1,49,24.98999977,123,19.67000008,66,87,M,20
18470,3,4XE,0.600000024,FALSE,1,2,2002,10,29,44,28,1,49,24.20000076,123,23.60000038,65,80,M,20
18504,1,4XE,,FALSE,2,,2002,11,29,4,13,12,50,13.77000046,125,7.169000149,40,42,F,22
18505,1,4XE,,FALSE,14,,2002,11,29,5,13,12,50,13.94699955,125,7.414000034,40,50,F,21
18506,1,4XE,,FALSE,8,,2002,11,29,6,13,12,50,13.46399975,125,8.079000473,40,50,F,22
18508,1,4XE,,FALSE,1,,2002,11,30,2,13,13,50,7.592999935,125,10.24499989,52,68,F,18
18511,1,4XE,,FALSE,1,,2002,11,30,5,13,13,50,7.744999886,125,11.28100014,34,42,F,20
18512,1,4XE,,FALSE,2,,2002,11,30,6,13,13,50,7.369999886,125,12.42000008,36,38,F,20
18513,1,4XE,,FALSE,3,,2002,11,30,1,17,9,48,52.29999924,123,34.93000031,35,45,F,22
18514,1,4XE,,FALSE,4,,2002,11,30,2,17,9,48,51.72000122,123,33.70000076,35,45,F,24
18515,1,4XE,,FALSE,3,,2002,11,30,3,17,9,48,50.93999863,123,35.5,30,40,F,28
18516,1,4XE,,FALSE,5,,2002,11,30,4,17,9,48,51.24000168,123,33.97000122,35,45,F,26
16817,2,4XE,1.299999952,FALSE,1,1,2002,2,22,20,28,4,49,34.79999924,123,18.64999962,66,71,M,18
16823,2,4XE,0.800000012,FALSE,,,2002,2,24,35,28,3,49,31.90999985,123,23.51000023,51,68,M,22
16824,2,4XE,2,FALSE,5,2,2002,2,25,41,28,3,49,27.54999924,123,28.20000076,76,92,M,22
16825,2,4XE,1.700000048,FALSE,2,1,2002,2,25,42,28,1,49,24.11000061,123,29.86000061,68,77,M,15
16828,1,4XE,1.299999952,FALSE,,,2002,2,26,44,28,3,49,27.23999977,123,27.02000046,70,88,M,21
16832,2,4XE,2.599999905,FALSE,1,0,2002,2,23,27,28,2,49,28.87000084,123,14.90999985,58,78,M,23
16833,1,4XE,0.5,FALSE,,,2002,2,23,28,28,2,49,28.87000084,123,14.90999985,69,90,M,20
16834,1,4XE,2.200000048,FALSE,,,2002,2,23,29,28,2,49,25.42000008,123,14.90999985,68,75,M,18
16837,4,4XE,0.699999988,FALSE,,,2002,2,24,32,28,2,49,29.34000015,123,19.87000084,68,80,M,18
16838,3,4XE,1.799999952,FALSE,2,1,2002,2,24,33,28,2,49,30.98999977,123,21.04999924,69,80,M,18
16844,3,4XE,3.200000048,FALSE,2,1,2002,2,26,46,28,3,49,26.72999954,123,26.76000023,72,80,M,19
16489,4,4XE,0.699999988,FALSE,,,2001,10,31,2,28,2,49,20.62000084,123,18.72999954,74,89,M,17
16497,2,4XE,2.400000095,FALSE,,,2001,11,1,10,28,1,49,26.88999939,123,24.04999924,71,82,M,21
16498,6,4XE,5.5,FALSE,,,2001,11,1,11,28,3,49,26.97999954,123,26.71999931,47,56,M,20
